Scott Pilgrim vs. the World, 2010
Drive, 2011
Lost in Translation, 2003
Her, 2013
Children of Men, 2006
Blade Runner 2049, 2017
Mulan, 1998
Sicario, 2015
Spider-Man: Into the Spider-Verse, 2018
A Quiet Place, 2018
